Actimel,0.553,100,0,0,0,0,0,1,1,0,1,0,0,1,5,146,63,103,3.3999,0.1,12,183,3.6,1,55,33,0.04,0.1799,0.1,0.2999,1,0.2,0.2999,4,0.4,4,
,Flan,0.315,105,0,0,0,0,0,1,1,0,1,0,0,1,9.45,95.55,139.65,112.35,3.5699,0.73458,13.65,128.1,5.0399,4.82979,66.15,99.75,0.0525,0.1785,0.105,0.62979,0,0.60858,0.2415,34.65,0.62979,0,
,Leche frita,0.179014,123.7,1,0,0,0,0,1,1,1,1,0,0,1,15.166,91.767,313.542,107.671,14.6505,0.934556,15.3088,150.14,6.2645,4.10356,76.2804,40.3444,0.0642446,0.161136,0.09844,0.346442,1.03977,0.138034,1.62407,9.92339,1.11459,2,
,Macedonia de frutas,0.22,200,0,0,0,0,0,0,0,0,1,0,0,0,8,16,214,20,0.2,2,16,240,1.8,2,4,18,0.04,0.02,0.02,0,6,0,0.64,4,0.2,3,
,Mandarina,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,32,36,40,17.199,0,0.2999,11,160,0.8,0,2,106,0.07,0.02,0.07,0,35,0,0.22,0,0.4,3,
,Manzana,0.162,120,0,0,0,0,0,0,0,0,0,0,0,0,1.2,7.2,60,10.8,0,0.48,6,118.8,0.35988,0,2.4,4.8,0.03576,0.048,0.048,0,3.6,0,0.636,0,0.12,3,
,Melon,0.24,120,0,0,0,0,0,0,0,0,1,0,0,0,36,16.8,32.4,21.6,0,0.48,20.4,384,0.71976,0,16.8,4.8,0.048,0.024,0.084,0,30,0,0.12,0.66,0.12,3,
,Pera,0.12,120,0,0,0,0,0,0,0,0,0,0,0,0,13.2,14.4,54,21,0,0.24,8.4,156,0.48,0,2.4,1.2,0.03576,0.03576,0.024,0,3.6,0,0,2.4,0.168,3,
,Petit Suisse de fresa,0.2742,60,0,0,0,0,0,1,1,0,1,0,0,1,2.7,72,76.8,48.6,2.1,0.06,7.8,65.4,4.2,0.24,21,17.5194,0.024,0,0.024,0.12,0,0.05388,0.06,4.8,0.12,4,
,Platano,0.071976,120,0,0,0,0,0,0,0,0,1,0,0,0,26.4,10.8,106.8,33.6,0.35988,0.71976,45.6,420,1.44,1.2,1.2,21.6,0.07188,0.084,0.612,0,12,0,0.24,2.4,0.276,3,
,Sandia,0.174,120,0,0,0,0,0,0,0,0,1,0,0,0,3.6,8.4,24,6.6,0,0.35988,13.2,144,0.48,0,4.8,21.6,0.024,0.024,0.084,0,6,0,0.12,0,0.12,3,
,Yogur frutas del bosque,0.2196,120,0,0,0,0,0,1,1,0,1,0,0,1,27.6,121.08,108,105.6,3.84,0.41496,12.12,145.08,3.95988,1.56,42.72,32.6388,0.04308,0.1956,0.0504,0.17988,0,0.11016,0.0984,29.16,0.3828,4,
,Yogur liquido de frutas,0.233,100,0,0,0,0,0,1,1,0,1,0,0,1,23,118,90,88,3.2,0.085,0,152,3.2999,1.3,41,27.199,0.0359,0.163,0.042,0.1499,0,0.0918,0.082,24.3,0.4687,4,
,Yogur liquido fresa y platano,0.233,100,0,0,0,0,0,1,1,0,1,0,0,1,13.5,92.799,116,140,3.3999,0.05,9.0998,99.9,5.4,1,27.899,27.399,0.0298,0.17,0.05,0.17,0.9395,0.05,0.08,6,0.3009,4,
